RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Tenure,NumOfProducts,HasCrCard,IsActiveMember,Exited,AgeGroup,BalanceGroup,SalaryGroup
1,15634602,Hargrave,619,France,Female,2,1,1,1,1,41-50,0-50K,100K-150K
2,15647311,Hill,608,Spain,Female,1,1,0,1,0,41-50,50K-100K,100K-150K
3,15619304,Onio,502,France,Female,8,3,1,0,1,41-50,150K-200K,100K-150K
4,15701354,Boni,699,France,Female,1,2,0,0,0,31-40,0-50K,50K-100K
5,15737888,Mitchell,850,Spain,Female,2,1,1,1,0,41-50,100K-150K,50K-100K
6,15574012,Chu,645,Spain,Male,8,2,1,0,1,41-50,100K-150K,100K-150K
7,15592531,Bartlett,822,France,Male,7,2,1,1,0,41-50,0-50K,0-50K
8,15656148,Obinna,376,Germany,Female,4,4,1,0,1,18-30,100K-150K,100K-150K
9,15792365,He,501,France,Male,4,2,0,1,0,41-50,100K-150K,50K-100K
10,15592389,H?,684,France,Male,2,1,1,1,0,18-30,100K-150K,50K-100K
11,15767821,Bearce,528,France,Male,6,2,0,0,0,31-40,100K-150K,50K-100K
12,15737173,Andrews,497,Spain,Male,3,2,1,0,0,18-30,0-50K,50K-100K
13,15632264,Kay,476,France,Female,10,2,1,0,0,31-40,0-50K,0-50K
14,15691483,Chin,549,France,Female,5,2,0,0,0,18-30,0-50K,150K-200K
15,15600882,Scott,635,Spain,Female,7,2,1,1,0,31-40,0-50K,50K-100K
16,15643966,Goforth,616,Germany,Male,3,2,0,1,0,41-50,100K-150K,50K-100K
17,15737452,Romeo,653,Germany,Male,1,1,1,0,1,51-60,100K-150K,0-50K
18,15788218,Henderson,549,Spain,Female,9,2,1,1,0,18-30,0-50K,0-50K
19,15661507,Muldrow,587,Spain,Male,6,1,0,0,0,41-50,0-50K,150K-200K
20,15568982,Hao,726,France,Female,6,2,1,1,0,18-30,0-50K,50K-100K
21,15577657,McDonald,732,France,Male,8,2,1,1,0,41-50,0-50K,150K-200K
22,15597945,Dellucci,636,Spain,Female,8,2,1,0,0,31-40,0-50K,100K-150K
23,15699309,Gerasimov,510,Spain,Female,4,1,1,0,1,31-40,0-50K,100K-150K
24,15725737,Mosman,669,France,Male,3,2,0,1,0,41-50,0-50K,0-50K
25,15625047,Yen,846,France,Female,5,1,1,1,0,31-40,0-50K,150K-200K
26,15738191,Maclean,577,France,Male,3,2,0,1,0,18-30,0-50K,100K-150K
27,15736816,Young,756,Germany,Male,2,1,1,1,0,31-40,100K-150K,150K-200K
28,15700772,Nebechi,571,France,Male,9,2,0,0,0,41-50,0-50K,0-50K
29,15728693,McWilliams,574,Germany,Female,3,1,1,1,0,41-50,100K-150K,100K-150K
30,15656300,Lucciano,411,France,Male,0,2,1,1,0,18-30,50K-100K,50K-100K
31,15589475,Azikiwe,591,Spain,Female,3,3,1,0,1,31-40,0-50K,100K-150K
32,15706552,Odinakachukwu,533,France,Male,7,1,0,1,0,31-40,50K-100K,150K-200K
33,15750181,Sanderson,553,Germany,Male,9,2,0,0,0,41-50,100K-150K,50K-100K
34,15659428,Maggard,520,Spain,Female,6,2,1,1,0,41-50,0-50K,0-50K
35,15732963,Clements,722,Spain,Female,9,2,1,1,0,18-30,0-50K,100K-150K
36,15794171,Lombardo,475,France,Female,0,1,1,0,1,41-50,100K-150K,0-50K
37,15788448,Watson,490,Spain,Male,3,1,0,1,0,31-40,100K-150K,100K-150K
38,15729599,Lorenzo,804,Spain,Male,7,1,0,1,0,31-40,50K-100K,50K-100K
39,15717426,Armstrong,850,France,Male,7,1,1,1,0,31-40,0-50K,0-50K
40,15585768,Cameron,582,Germany,Male,6,2,0,1,0,41-50,50K-100K,150K-200K
41,15619360,Hsiao,472,Spain,Male,4,1,1,0,0,31-40,0-50K,50K-100K
42,15738148,Clarke,465,France,Female,8,1,0,0,1,51-60,100K-150K,150K-200K
43,15687946,Osborne,556,France,Female,2,1,1,1,0,60+,100K-150K,50K-100K
44,15755196,Lavine,834,France,Female,2,1,0,0,1,41-50,100K-150K,150K-200K
45,15684171,Bianchi,660,Spain,Female,5,1,1,1,0,60+,150K-200K,150K-200K
46,15754849,Tyler,776,Germany,Female,4,2,1,1,0,31-40,100K-150K,100K-150K
47,15602280,Martin,829,Germany,Female,9,1,1,1,1,18-30,100K-150K,100K-150K
48,15771573,Okagbue,637,Germany,Female,9,1,1,1,1,31-40,100K-150K,100K-150K
49,15766205,Yin,550,Germany,Male,2,1,0,1,0,31-40,100K-150K,50K-100K
50,15771873,Buccho,776,Germany,Female,2,2,1,0,0,31-40,100K-150K,150K-200K
51,15616550,Chidiebele,698,Germany,Male,10,2,1,0,0,41-50,100K-150K,150K-200K
52,15768193,Trevisani,585,Germany,Male,5,2,0,0,0,31-40,100K-150K,50K-100K
53,15683553,O'Brien,788,France,Female,5,2,0,0,0,31-40,0-50K,100K-150K
54,15702298,Parkhill,655,Germany,Male,8,1,0,0,1,41-50,100K-150K,150K-200K
55,15569590,Yoo,601,Germany,Male,1,1,1,0,1,41-50,50K-100K,0-50K
56,15760861,Phillipps,619,France,Male,1,1,1,1,0,41-50,100K-150K,100K-150K
57,15630053,Tsao,656,France,Male,5,1,1,0,0,41-50,100K-150K,50K-100K
58,15647091,Endrizzi,725,Germany,Male,0,1,0,0,0,18-30,50K-100K,0-50K
59,15623944,T'ien,511,Spain,Female,4,1,1,0,1,60+,0-50K,0-50K
60,15804771,Velazquez,614,France,Male,4,1,1,1,0,51-60,0-50K,0-50K
61,15651280,Hunter,742,Germany,Male,5,1,0,0,0,31-40,100K-150K,50K-100K
62,15773469,Clark,687,Germany,Female,9,2,0,0,0,18-30,150K-200K,100K-150K
